Model,Market_Condition,RMSE,MAE,Directional_Accuracy,Sample_Size
RandomForest,Normal,0.007378281636730457,0.005714458722849453,0.4385026737967914,374
XGBoost,Normal,0.007606449483440685,0.005840610654873624,0.40641711229946526,374
RandomForest,High_Volatility,0.010904372065504198,0.008608293373228494,0.52,125
XGBoost,High_Volatility,0.01081871679227991,0.00882080444953974,0.48,125
