"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","511.29","511.16","512.55","508.56","72.76M","1.24%"
"05/02/2024","505.03","504.15","505.89","499.55","62.55M","0.94%"
"05/01/2024","500.35","501.38","508.19","499.86","80.24M","-0.32%"
"04/30/2024","501.98","508.56","509.56","501.98","77.48M","-1.58%"
"04/29/2024","510.06","510.09","510.75","507.25","46.42M","0.35%"
"04/26/2024","508.26","506.35","509.88","505.70","64.31M","0.95%"
"04/25/2024","503.49","499.18","504.27","497.49","69.12M","-0.38%"
"04/24/2024","505.41","506.56","507.37","503.13","55.93M","-0.05%"
"04/23/2024","505.65","501.78","506.09","499.53","64.63M","1.19%"
"04/22/2024","499.72","497.83","502.38","495.43","67.96M","0.92%"
"04/19/2024","495.16","499.44","500.45","493.86","102.21M","-0.87%"
"04/18/2024","499.52","501.98","504.13","498.56","74.55M","-0.21%"
"04/17/2024","500.55","506.05","506.22","499.12","75.91M","-0.59%"
"04/16/2024","503.53","504.94","506.50","502.21","73.48M","-0.18%"
"04/15/2024","504.45","515.13","515.30","503.58","92.10M","-1.25%"
"04/12/2024","510.85","514.37","515.82","509.08","92.56M","-1.38%"
"04/11/2024","518.00","515.68","519.48","512.08","70.10M","0.75%"
"04/10/2024","514.12","513.48","516.16","512.09","82.65M","-1.00%"
"04/09/2024","519.32","520.50","520.75","514.35","68.12M","0.12%"
"04/08/2024","518.72","519.15","520.18","517.89","48.40M","0.06%"
"04/05/2024","518.43","514.46","520.44","514.01","74.55M","1.04%"
"04/04/2024","513.07","523.52","523.87","512.76","96.86M","-1.22%"
"04/03/2024","519.41","517.72","520.95","517.66","59.16M","0.11%"
"04/02/2024","518.84","518.24","518.98","516.48","74.23M","-0.64%"
"04/01/2024","522.16","523.83","524.38","520.97","62.48M","-0.17%"
"03/28/2024","523.07","523.21","524.61","522.78","96.29M","-0.02%"
"03/27/2024","523.17","521.71","523.21","519.48","83.00M","0.84%"
"03/26/2024","518.81","521.23","521.58","518.40","65.46M","-0.18%"
"03/25/2024","519.77","519.80","520.95","519.61","48.51M","-0.28%"
"03/22/2024","521.21","522.11","522.60","520.97","79.07M","-0.19%"
"03/21/2024","522.20","523.39","524.11","521.91","60.26M","0.33%"
"03/20/2024","520.48","515.77","520.62","515.08","69.59M","0.92%"
"03/19/2024","515.71","512.15","515.99","511.12","60.76M","0.56%"
"03/18/2024","512.86","514.00","515.48","512.44","88.89M","0.59%"
"03/15/2024","509.83","510.21","511.70","508.12","107.65M","-0.99%"
"03/14/2024","514.95","516.97","517.13","511.82","110.17M","-0.20%"
"03/13/2024","515.97","517.11","517.29","514.49","55.10M","-0.16%"
"03/12/2024","516.78","513.45","517.38","510.86","73.11M","1.08%"
"03/11/2024","511.28","510.48","511.88","508.50","62.56M","-0.09%"
"03/08/2024","511.72","515.46","518.22","511.13","86.53M","-0.60%"
"03/07/2024","514.81","513.14","515.89","509.81","58.65M","0.99%"
"03/06/2024","509.75","510.55","512.07","508.42","68.38M","0.51%"
"03/05/2024","507.18","510.24","510.70","504.91","72.86M","-1.00%"
"03/04/2024","512.30","512.03","514.20","512.00","49.80M","-0.11%"
"03/01/2024","512.85","508.98","513.29","508.56","76.84M","0.94%"
"02/29/2024","508.08","508.07","509.74","505.35","83.92M","0.36%"
"02/28/2024","506.26","505.33","506.86","504.96","56.51M","-0.13%"
"02/27/2024","506.93","506.70","507.16","504.75","48.85M","0.19%"
"02/26/2024","505.99","508.30","508.75","505.86","50.39M","-0.37%"
"02/23/2024","507.85","509.27","510.13","507.10","61.32M","0.07%"
"02/22/2024","507.50","504.01","508.49","503.02","76.40M","2.07%"
"02/21/2024","497.21","495.42","497.37","493.56","59.60M","0.09%"
"02/20/2024","496.76","497.72","498.41","494.45","71.74M","-0.55%"
"02/16/2024","499.51","501.70","502.87","498.75","75.53M","-0.50%"
"02/15/2024","502.01","499.29","502.20","498.80","61.68M","0.69%"
"02/14/2024","498.57","496.79","499.07","494.40","68.39M","0.91%"
"02/13/2024","494.08","494.53","497.09","490.71","113.10M","-1.38%"
"02/12/2024","500.98","501.17","503.50","500.24","56.50M","-0.04%"
"02/09/2024","501.20","498.84","501.65","498.49","63.98M","0.58%"
"02/08/2024","498.32","498.10","498.71","497.26","52.34M","0.04%"
"02/07/2024","498.10","496.29","498.53","495.36","70.56M","0.83%"
"02/06/2024","493.98","493.52","494.32","492.05","55.92M","0.29%"
"02/05/2024","492.55","493.70","494.38","490.23","75.76M","-0.36%"
"02/02/2024","494.35","489.65","496.05","489.30","99.23M","1.05%"
"02/01/2024","489.20","484.63","489.23","483.80","91.89M","1.31%"
"01/31/2024","482.88","488.62","489.08","482.86","126.01M","-1.63%"
"01/30/2024","490.89","490.56","491.62","490.11","58.62M","-0.08%"
"01/29/2024","491.27","487.73","491.42","487.17","61.32M","0.79%"
"01/26/2024","487.41","487.59","489.12","486.54","76.64M","-0.13%"
"01/25/2024","488.03","487.58","488.30","485.39","72.52M","0.54%"
"01/24/2024","485.39","487.81","488.77","484.88","81.77M","0.11%"
"01/23/2024","484.86","484.01","485.11","482.89","49.95M","0.29%"
"01/22/2024","483.45","484.01","485.22","482.78","75.84M","0.21%"
"01/19/2024","482.43","477.65","482.72","476.54","110.83M","1.25%"
"01/18/2024","476.49","474.01","477.06","472.42","91.86M","0.89%"
"01/17/2024","472.29","471.82","472.79","469.87","68.84M","-0.56%"
"01/16/2024","474.93","475.26","476.61","473.06","85.01M","-0.37%"
"01/12/2024","476.68","477.84","478.60","475.23","58.03M","0.07%"
