Date,Price_VIX,Open_VIX,High_VIX,Low_VIX,Vol._VIX,Change %_VIX,Price_SPY,Open_SPY,High_SPY,Low_SPY,Vol._SPY,Change %_SPY,SPY_lag_1,VIX_lag_1,SPY_lag_2,VIX_lag_2,SPY_lag_3,VIX_lag_3,SPY_lag_5,VIX_lag_5,SPY_lag_10,VIX_lag_10,SPY_lag_21,VIX_lag_21,SPY_MA_5,VIX_MA_5,SPY_STD_5,VIX_STD_5,SPY_MA_10,VIX_MA_10,SPY_STD_10,VIX_STD_10,SPY_MA_21,VIX_MA_21,SPY_STD_21,VIX_STD_21,SPY_MA_63,VIX_MA_63,SPY_STD_63,VIX_STD_63,SPY_MACD,VIX_MACD,SPY_ROC_1,VIX_ROC_1,SPY_ROC_5,VIX_ROC_5,SPY_ROC_10,VIX_ROC_10,SPY_ROC_21,VIX_ROC_21,SPY_RS_1m,VIX_RS_1m,VIX_SPY_ratio,DayOfWeek,Month,Quarter,Year,DOW_0,DOW_1,DOW_2,DOW_3,DOW_4,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,target_next_day_return,target_5d_return,target_next_day_up,target_5d_up,VIX_SPY_interaction
2015-04-07,14.78,14.57,14.81,14.01,,0.0027,207.28,207.85,208.76,207.24,81240000.0,-0.0026,207.83,14.74,206.44,14.67,205.7,15.11,208.25,14.51,210.0,13.41,207.5,15.2,206.73600000000002,14.918000000000001,0.8287520739036738,0.26808580715873404,206.752,14.903,1.2235540218742924,0.5972166924808722,207.3904761904762,14.99095238095238,1.8263829724087632,1.0004344294450453,206.48746031746035,16.381587301587302,3.5200893354929894,2.4102865619680807,-0.6544761904761742,-0.07295238095237977,-0.002646393687148252,0.0027137042062415073,-0.004657863145258068,0.01860785665058584,-0.012952380952380937,0.10216256524981349,-0.0010602409638553745,-0.02763157894736845,0.9994673034533431,0.9859280200756011,0.07130451563103049,1,4,2,2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.003328830567348451,0.0106619065997684,1,1,-7.02e-06
2015-04-08,13.98,14.59,14.77,13.75,,-0.0541,207.97,207.55,208.51,207.08,89350000.0,0.0033,207.28,14.78,207.83,14.74,206.44,14.67,206.43,15.29,208.82,13.62,208.36,15.06,207.044,14.656,0.9620446975060919,0.4140410607656514,206.667,14.938999999999998,1.0856851395420983,0.5167086004488334,207.37190476190477,14.939523809523811,1.8179951018845162,1.0241849256383084,206.6168253968254,16.26825396825397,3.4194235627193117,2.3510248552373274,-0.3279047619047617,-0.2835238095238104,0.003328830567348451,-0.05412719891745599,0.007460155985079542,-0.08567691301504243,-0.004070491332247794,0.026431718061673992,-0.0018717604146669675,-0.07171314741035861,1.0028841671622872,0.9357727982660249,0.06722123383180266,2,4,2,2015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004471798817137218,0.011828629129201351,1,1,-0.00017853
2015-04-09,13.09,14.14,14.59,13.09,,-0.0637,208.9,207.78,209.18,207.19,85550000.0,0.0045,207.97,13.98,207.28,14.78,207.83,14.74,205.7,15.11,205.76,15.44,204.98,16.69,207.68400000000003,14.252,0.9072651211192252,0.7273032379963252,206.981,14.703999999999999,1.2376541430375787,0.7467291640511049,207.5585714285714,14.76809523809524,1.7604581384238618,1.0178045934638804,206.72142857142856,16.16952380952381,3.386184386660119,2.351830740955098,0.12542857142861408,-0.5160952380952395,0.004471798817137218,-0.0636623748211731,0.015556635877491676,-0.13368630046326935,0.015260497667185069,-0.1522020725388601,0.019123816957752116,-0.21569802276812466,1.006462891713871,0.8863702318382612,0.06266156055528961,3,4,2,2015,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005457156534226737,0.007036859741503143,1,1,-0.00028665
2015-04-10,12.58,13.2,13.26,12.51,,-0.039,210.04,209.2,210.09,208.96,72720000.0,0.0055,208.9,13.09,207.97,13.98,207.28,14.78,206.44,14.67,205.27,15.8,204.5,16.87,208.404,13.834,1.0844030615962779,0.982741064573946,207.458,14.382000000000001,1.4118844774902986,0.9001086354188458,207.82238095238094,14.563809523809525,1.6930059207277068,1.0052834236695363,206.78714285714287,16.099206349206348,3.410073515701445,2.392176294606062,0.581619047619057,-0.729809523809525,0.005457156534226737,-0.038961038961038974,0.017438480914551358,-0.14246762099522836,0.023237686948896386,-0.20379746835443036,0.027090464547677273,-0.25429756965026673,1.0106707421859784,0.8637849856133926,0.0598933536469244,4,4,2,2015,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.004522948009902827,-0.009950485621786354,0,0,-0.00021449999999999998
2015-04-13,13.94,13.17,14.31,12.71,,0.1081,209.09,209.87,210.63,209.03,74440000.0,-0.0045,210.04,12.58,208.9,13.09,207.97,13.98,207.83,14.74,205.74,15.07,207.1,15.42,208.656,13.674000000000001,1.0638749926562565,0.8552075771413221,207.79300000000003,14.269,1.3552535638110272,0.8747120161008042,207.91714285714286,14.493333333333334,1.7061920843127465,0.9940741085720498,206.86396825396827,16.04190476190476,3.4065106258658804,2.400087267998653,0.7388571428571424,-0.8193333333333328,-0.004522948009902827,0.10810810810810811,0.006062647356012141,-0.05427408412483048,0.016282686886361475,-0.07498341074983417,0.009608884596813194,-0.09597924773022048,1.0056409833587556,0.9618215271389143,0.06666985508632646,0,4,2,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0019130517958774185,0.003634798412166962,1,1,-0.00048645
2015-04-14,13.67,14.34,14.74,13.64,,-0.0194,209.49,208.85,209.71,208.1,75100000.0,0.0019,209.09,13.94,210.04,12.58,208.9,13.09,207.28,14.78,208.25,14.51,205.83,16.0,209.098,13.452000000000002,0.7669224211087322,0.6032992623896766,207.917,14.184999999999999,1.454785589395006,0.8892100114396305,208.09142857142857,14.382380952380954,1.668856751534698,0.9463873665783105,206.9725396825397,15.947777777777778,3.3789275681045,2.374439454695436,1.0065714285714478,-0.9303809523809523,0.0019130517958774185,-0.01936872309899562,0.0106619065997684,-0.07510148849797016,0.005954381752701021,-0.05789110957960031,0.01778166448039653,-0.145625,1.0067209468365554,0.9504684965069694,0.06525371139433862,1,4,2,2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004487087689149849,0.0005250847295812378,1,1,-3.686e-05
2015-04-15,12.84,13.58,13.58,12.83,,-0.0607,210.43,210.05,211.04,209.95,99530000.0,0.0045,209.49,13.67,209.09,13.94,210.04,12.58,207.97,13.98,206.43,15.29,208.58,15.61,209.59,13.224,0.6411318117198693,0.5682693023557798,208.317,13.940000000000001,1.54745705379296,0.888444333277758,208.1795238095238,14.25047619047619,1.7431135252486765,0.9596742999084342,207.10507936507938,15.825238095238094,3.3475406827448353,2.3313894909528456,1.4104761904762029,-1.02647619047619,0.004487087689149849,-0.0607168983174835,0.011828629129201351,-0.0815450643776825,0.019377028532674423,-0.16023544800523215,0.008869498513759622,-0.1774503523382447,1.010810266779817,0.9010225222214796,0.06101791569643111,2,4,2,2015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.00028513044717959346,0.0009504348239319782,0,1,-0.00027314999999999994
2015-04-16,12.6,13.27,13.35,12.5,,-0.0187,210.37,210.03,210.98,209.79,68930000.0,-0.0003,210.43,12.84,209.49,13.67,209.09,13.94,208.9,13.09,205.7,15.11,207.96,15.66,209.88400000000001,13.126,0.579724072295743,0.6354368576026443,208.78400000000002,13.688999999999998,1.3636894400445925,0.8756388144282796,208.29428571428568,14.104761904761906,1.806132806381038,0.9672363674284437,207.25603174603174,15.684285714285714,3.2750200884301455,2.2510482965009317,1.5897142857143365,-0.9787619047619067,-0.00028513044717959346,-0.01869158878504673,0.007036859741503143,-0.03743315508021394,0.02270296548371431,-0.16611515552614164,0.011588767070590533,-0.1954022988505747,1.009965296352688,0.8933153274814314,0.059894471645196554,3,4,2,2015,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.011503541379474291,0.0037552883015639082,0,1,5.61e-06
2015-04-17,13.89,13.97,15.02,13.73,,0.1024,207.95,208.94,209.23,207.01,191110000.0,-0.0115,210.37,12.6,210.43,12.84,209.49,13.67,210.04,12.58,206.44,14.67,210.46,13.97,209.46600000000004,13.388,1.0230737998791875,0.6239951922891133,208.935,13.611,1.1406650107138887,0.8108904570491405,208.1747619047619,14.100952380952382,1.7373906269104522,0.9679509531061108,207.39777777777778,15.549365079365078,3.1014577448949816,2.091740958038327,1.2912380952381284,-0.7129523809523821,-0.011503541379474291,0.10238095238095246,-0.009950485621786354,0.10413354531001584,0.007314473939159072,-0.053169734151329195,-0.011926256770882881,-0.005726556907659219,0.998920321067235,0.9850398487099824,0.06679490262082231,4,4,2,2015,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.009136811733589933,0.017792738639095917,1,1,-0.0011776
2015-04-20,13.3,13.67,13.67,12.83,,-0.0425,209.85,209.06,210.25,208.96,92190000.0,0.0091,207.95,13.89,210.37,12.6,210.43,12.84,209.09,13.94,207.83,14.74,209.5,14.07,209.61800000000002,13.260000000000002,1.0096137875441344,0.5428167278188153,209.137,13.466999999999999,1.101423825983762,0.7096642398580931,208.19142857142856,14.064285714285715,1.7523535194540414,0.9836390162481837,207.52825396825398,15.427936507936508,3.026906511809354,1.992880197045154,1.4265714285714637,-0.8042857142857134,0.009136811733589933,-0.042476601871850206,0.003634798412166962,-0.04591104734576745,0.009719482269162194,-0.09769335142469471,0.0016706443914080715,-0.05472636815920395,1.007966569228869,0.9456576942610462,0.06337860376459377,0,4,2,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0011913271384321744,0.004384083869430677,0,1,-0.00038675000000000005
